abbrev,state,x,y
AL,Alabama,8,7
AK,Alaska,1,7
AZ,Arizona,3,6
AR,Arkansas,6,6
CA,California,2,5
CO,Colorado,4,5
CT,Connecticut,11,4
DE,Delaware,11,5
DC,District of Columbia,10,6
FL,Florida,10,8
GA,Georgia,9,7
HI,Hawaii,1,8
ID,Idaho,3,3
IL,Illinois,7,3
IN,Indiana,7,4
IA,Iowa,6,4
KS,Kansas,5,6
KY,Kentucky,7,5
LA,Louisiana,6,7
ME,Maine,12,1
MD,Maryland,10,5
MA,Massachusetts,11,3
MI,Michigan,8,3
MN,Minnesota,6,3
MS,Mississippi,7,7
MO,Missouri,6,5
MT,Montana,4,3
NE,Nebraska,5,5
NV,Nevada,3,4
NH,New Hampshire,12,2
NJ,New Jersey,10,4
NM,New Mexico,4,6
NY,New York,10,3
NYC,New York City,12,3
NC,North Carolina,8,6
ND,North Dakota,5,3
OH,Ohio,8,4
OK,Oklahoma,5,7
OR,Oregon,2,4
PA,Pennsylvania,9,4
PR,Puerto Rico,12,8
RI,Rhode Island,12,4
SC,South Carolina,9,6
SD,South Dakota,5,4
TN,Tennessee,7,6
TX,Texas,5,8
UT,Utah,3,5
VT,Vermont,11,2
VI,Virgin Islands,12,7
VA,Virginia,9,5
WA,Washington,2,3
WV,West Virginia,8,5
WI,Wisconsin,7,2
WY,Wyoming,4,4
